Current;Current Ideal;Power;;;;;;
1,550106;6,5104452;195,313356;;;;;;
1,550261;6,5110962;195,332886;;;;;;
1,550416;6,5117472;195,352416;;;;;;
1,55057;6,512394;195,37182;;;;;;
1,550725;6,513045;195,39135;;;;;;
1,550879;6,5136918;195,410754;;;;;;
1,551033;6,5143386;195,430158;;;;;;
1,551187;6,5149854;195,449562;;;;;;
1,551341;6,5156322;195,468966;;;;;;
1,551495;6,516279;195,48837;;;;;;
1,551649;6,5169258;195,507774;;;;;;
1,551803;6,5175726;195,527178;;;;;;
1,551956;6,5182152;195,546456;;;;;;
1,55211;6,518862;195,56586;;;;;;
1,552263;6,5195046;195,585138;;;;;;
1,552416;6,5201472;195,604416;;;;;;
1,55257;6,520794;195,62382;;;;;;
1,552723;6,5214366;195,643098;;;;;;
1,552875;6,522075;195,66225;;;;;;
1,553028;6,5227176;195,681528;;;;;;
1,553181;6,5233602;195,700806;;;;;;
1,553333;6,5239986;195,719958;;;;;;
1,553486;6,5246412;195,739236;;;;;;
1,553638;6,5252796;195,758388;;;;;;
1,55379;6,525918;195,77754;;;;;;
1,553942;6,5265564;195,796692;;;;;;
1,554094;6,5271948;195,815844;;;;;;
1,554246;6,5278332;195,834996;;;;;;
1,554398;6,5284716;195,854148;;;;;;
1,55455;6,52911;195,8733;;;;;;
1,554701;6,5297442;195,892326;;;;;;
1,554852;6,5303784;195,911352;;;;;;
1,555004;6,5310168;195,930504;;;;;;
1,555155;6,531651;195,94953;;;;;;
1,555306;6,5322852;195,968556;;;;;;
1,555457;6,5329194;195,987582;;;;;;
1,555608;6,5335536;196,006608;;;;;;
1,555758;6,5341836;196,025508;;;;;;
1,555909;6,5348178;196,044534;;;;;;
1,55606;6,535452;196,06356;;;;;;
1,55621;6,536082;196,08246;;;;;;
1,55636;6,536712;196,10136;;;;;;
1,55651;6,537342;196,12026;;;;;;
1,55666;6,537972;196,13916;;;;;;
1,55681;6,538602;196,15806;;;;;;
1,55696;6,539232;196,17696;;;;;;
1,55711;6,539862;196,19586;;;;;;
1,557259;6,5404878;196,214634;;;;;;
1,557409;6,5411178;196,233534;;;;;;
1,557558;6,5417436;196,252308;;;;;;
1,557707;6,5423694;196,271082;;;;;;
1,557856;6,5429952;196,289856;;;;;;
1,558005;6,543621;196,30863;;;;;;
1,558154;6,5442468;196,327404;;;;;;
1,558303;6,5448726;196,346178;;;;;;
1,558452;6,5454984;196,364952;;;;;;
1,5586;6,54612;196,3836;;;;;;
1,558749;6,5467458;196,402374;;;;;;
1,558897;6,5473674;196,421022;;;;;;
1,559045;6,547989;196,43967;;;;;;
1,559193;6,5486106;196,458318;;;;;;
1,559341;6,5492322;196,476966;;;;;;
1,559489;6,5498538;196,495614;;;;;;
1,559637;6,5504754;196,514262;;;;;;
1,559784;6,5510928;196,532784;;;;;;
1,559932;6,5517144;196,551432;;;;;;
1,560079;6,5523318;196,569954;;;;;;
1,560226;6,5529492;196,588476;;;;;;
1,560374;6,5535708;196,607124;;;;;;
1,560521;6,5541882;196,625646;;;;;;
1,560668;6,5548056;196,644168;;;;;;
1,560814;6,5554188;196,662564;;;;;;
1,560961;6,5560362;196,681086;;;;;;
1,561108;6,5566536;196,699608;;;;;;
1,561254;6,5572668;196,718004;;;;;;
1,561401;6,5578842;196,736526;;;;;;
1,561547;6,5584974;196,754922;;;;;;
1,561693;6,5591106;196,773318;;;;;;
1,561839;6,5597238;196,791714;;;;;;
1,561985;6,560337;196,81011;;;;;;
1,562131;6,5609502;196,828506;;;;;;
1,562276;6,5615592;196,846776;;;;;;
1,562422;6,5621724;196,865172;;;;;;
1,562567;6,5627814;196,883442;;;;;;
1,562713;6,5633946;196,901838;;;;;;
1,562858;6,5640036;196,920108;;;;;;
1,563003;6,5646126;196,938378;;;;;;
1,563148;6,5652216;196,956648;;;;;;
1,563293;6,5658306;196,974918;;;;;;
1,563437;6,5664354;196,993062;;;;;;
1,563582;6,5670444;197,011332;;;;;;
1,563727;6,5676534;197,029602;;;;;;
1,563871;6,5682582;197,047746;;;;;;
1,564015;6,568863;197,06589;;;;;;
1,564159;6,5694678;197,084034;;;;;;
1,564303;6,5700726;197,102178;;;;;;
1,564447;6,5706774;197,120322;;;;;;
1,564591;6,5712822;197,138466;;;;;;
1,564735;6,571887;197,15661;;;;;;
1,564878;6,5724876;197,174628;;;;;;
1,565022;6,5730924;197,192772;;;;;;
1,565165;6,573693;197,21079;;;;;;
1,565308;6,5742936;197,228808;;;;;;
1,565452;6,5748984;197,246952;;;;;;
1,565595;6,575499;197,26497;;;;;;
1,565737;6,5760954;197,282862;;;;;;
1,56588;6,576696;197,30088;;;;;;
1,566023;6,5772966;197,318898;;;;;;
1,566166;6,5778972;197,336916;;;;;;
1,566308;6,5784936;197,354808;;;;;;
1,56645;6,57909;197,3727;;;;;;
1,566592;6,5796864;197,390592;;;;;;
1,566735;6,580287;197,40861;;;;;;
1,566877;6,5808834;197,426502;;;;;;
1,567018;6,5814756;197,444268;;;;;;
1,56716;6,582072;197,46216;;;;;;
1,567302;6,5826684;197,480052;;;;;;
1,567443;6,5832606;197,497818;;;;;;
1,567585;6,583857;197,51571;;;;;;
1,567726;6,5844492;197,533476;;;;;;
1,567867;6,5850414;197,551242;;;;;;
1,568008;6,5856336;197,569008;;;;;;
1,568149;6,5862258;197,586774;;;;;;
1,56829;6,586818;197,60454;;;;;;
1,568431;6,5874102;197,622306;;;;;;
1,568571;6,5879982;197,639946;;;;;;
1,568712;6,5885904;197,657712;;;;;;
1,568852;6,5891784;197,675352;;;;;;
1,568992;6,5897664;197,692992;;;;;;
1,569132;6,5903544;197,710632;;;;;;
1,569273;6,5909466;197,728398;;;;;;
1,569412;6,5915304;197,745912;;;;;;
1,569552;6,5921184;197,763552;;;;;;
1,569692;6,5927064;197,781192;;;;;;
1,569831;6,5932902;197,798706;;;;;;
1,569971;6,5938782;197,816346;;;;;;
1,57011;6,594462;197,83386;;;;;;
1,570249;6,5950458;197,851374;;;;;;
1,570388;6,5956296;197,868888;;;;;;
1,570527;6,5962134;197,886402;;;;;;
1,570666;6,5967972;197,903916;;;;;;
1,570805;6,597381;197,92143;;;;;;
1,570944;6,5979648;197,938944;;;;;;
1,571082;6,5985444;197,956332;;;;;;
1,571221;6,5991282;197,973846;;;;;;
1,571359;6,5997078;197,991234;;;;;;
1,571497;6,6002874;198,008622;;;;;;
1,571635;6,600867;198,02601;;;;;;
1,571773;6,6014466;198,043398;;;;;;
1,571911;6,6020262;198,060786;;;;;;
1,572048;6,6026016;198,078048;;;;;;
1,572186;6,6031812;198,095436;;;;;;
1,572324;6,6037608;198,112824;;;;;;
1,572461;6,6043362;198,130086;;;;;;
1,572598;6,6049116;198,147348;;;;;;
1,572735;6,605487;198,16461;;;;;;
1,572872;6,6060624;198,181872;;;;;;
1,573009;6,6066378;198,199134;;;;;;
1,573146;6,6072132;198,216396;;;;;;
1,573283;6,6077886;198,233658;;;;;;
1,573419;6,6083598;198,250794;;;;;;
1,573556;6,6089352;198,268056;;;;;;
1,573692;6,6095064;198,285192;;;;;;
1,573828;6,6100776;198,302328;;;;;;
1,573964;6,6106488;198,319464;;;;;;
1,5741;6,61122;198,3366;;;;;;
1,574236;6,6117912;198,353736;;;;;;
1,574372;6,6123624;198,370872;;;;;;
1,574507;6,6129294;198,387882;;;;;;
1,574643;6,6135006;198,405018;;;;;;
1,574778;6,6140676;198,422028;;;;;;
1,574913;6,6146346;198,439038;;;;;;
1,575049;6,6152058;198,456174;;;;;;
1,575184;6,6157728;198,473184;;;;;;
1,575319;6,6163398;198,490194;;;;;;
1,575453;6,6169026;198,507078;;;;;;
1,575588;6,6174696;198,524088;;;;;;
1,575723;6,6180366;198,541098;;;;;;
1,575857;6,6185994;198,557982;;;;;;
1,575991;6,6191622;198,574866;;;;;;
1,576126;6,6197292;198,591876;;;;;;
1,57626;6,620292;198,60876;;;;;;
1,576394;6,6208548;198,625644;;;;;;
1,576528;6,6214176;198,642528;;;;;;
1,576661;6,6219762;198,659286;;;;;;
1,576795;6,622539;198,67617;;;;;;
1,576928;6,6230976;198,692928;;;;;;
1,577062;6,6236604;198,709812;;;;;;
1,577195;6,624219;198,72657;;;;;;
1,577328;6,6247776;198,743328;;;;;;
1,577461;6,6253362;198,760086;;;;;;
1,577594;6,6258948;198,776844;;;;;;
1,577727;6,6264534;198,793602;;;;;;
1,57786;6,627012;198,81036;;;;;;
1,577993;6,6275706;198,827118;;;;;;
1,578125;6,628125;198,84375;;;;;;
1,578257;6,6286794;198,860382;;;;;;
1,57839;6,629238;198,87714;;;;;;
1,578522;6,6297924;198,893772;;;;;;
1,578654;6,6303468;198,910404;;;;;;
1,578786;6,6309012;198,927036;;;;;;
1,578918;6,6314556;198,943668;;;;;;
1,579049;6,6320058;198,960174;;;;;;
1,579181;6,6325602;198,976806;;;;;;
1,579312;6,6331104;198,993312;;;;;;
1,579444;6,6336648;199,009944;;;;;;
1,579575;6,634215;199,02645;;;;;;
1,579706;6,6347652;199,042956;;;;;;
1,579837;6,6353154;199,059462;;;;;;
1,579968;6,6358656;199,075968;;;;;;
1,580098;6,6364116;199,092348;;;;;;
1,580229;6,6369618;199,108854;;;;;;
1,580359;6,6375078;199,125234;;;;;;
1,58049;6,638058;199,14174;;;;;;
1,58062;6,638604;199,15812;;;;;;
1,58075;6,63915;199,1745;;;;;;
1,58088;6,639696;199,19088;;;;;;
1,58101;6,640242;199,20726;;;;;;
1,58114;6,640788;199,22364;;;;;;
1,58127;6,641334;199,24002;;;;;;
1,581399;6,6418758;199,256274;;;;;;
1,581529;6,6424218;199,272654;;;;;;
1,581658;6,6429636;199,288908;;;;;;
1,581787;6,6435054;199,305162;;;;;;
1,581917;6,6440514;199,321542;;;;;;
1,582046;6,6445932;199,337796;;;;;;
1,582174;6,6451308;199,353924;;;;;;
1,582303;6,6456726;199,370178;;;;;;
1,582432;6,6462144;199,386432;;;;;;
1,58256;6,646752;199,40256;;;;;;
1,582689;6,6472938;199,418814;;;;;;
1,582817;6,6478314;199,434942;;;;;;
1,582945;6,648369;199,45107;;;;;;
1,583073;6,6489066;199,467198;;;;;;
1,583201;6,6494442;199,483326;;;;;;
1,583329;6,6499818;199,499454;;;;;;
1,583457;6,6505194;199,515582;;;;;;
1,583584;6,6510528;199,531584;;;;;;
1,583712;6,6515904;199,547712;;;;;;
1,583839;6,6521238;199,563714;;;;;;
1,583966;6,6526572;199,579716;;;;;;
1,584094;6,6531948;199,595844;;;;;;
1,584221;6,6537282;199,611846;;;;;;
1,584347;6,6542574;199,627722;;;;;;
1,584474;6,6547908;199,643724;;;;;;
1,584601;6,6553242;199,659726;;;;;;
1,584727;6,6558534;199,675602;;;;;;
1,584854;6,6563868;199,691604;;;;;;
1,58498;6,656916;199,70748;;;;;;
1,585106;6,6574452;199,723356;;;;;;
1,585232;6,6579744;199,739232;;;;;;
1,585359;6,6585078;199,755234;;;;;;
1,585484;6,6590328;199,770984;;;;;;
1,58561;6,659562;199,78686;;;;;;
1,585736;6,6600912;199,802736;;;;;;
1,585861;6,6606162;199,818486;;;;;;
1,585986;6,6611412;199,834236;;;;;;
1,586112;6,6616704;199,850112;;;;;;
1,586237;6,6621954;199,865862;;;;;;
1,586362;6,6627204;199,881612;;;;;;
1,586487;6,6632454;199,897362;;;;;;
1,586612;6,6637704;199,913112;;;;;;
1,586736;6,6642912;199,928736;;;;;;
1,586861;6,6648162;199,944486;;;;;;
1,586985;6,665337;199,96011;;;;;;
1,58711;6,665862;199,97586;;;;;;
1,587234;6,6663828;199,991484;;;;;;
1,587358;6,6669036;200,007108;;;;;;
1,587482;6,6674244;200,022732;;;;;;
1,587606;6,6679452;200,038356;;;;;;
1,58773;6,668466;200,05398;;;;;;
1,587853;6,6689826;200,069478;;;;;;
1,587977;6,6695034;200,085102;;;;;;
1,5881;6,67002;200,1006;;;;;;
1,588223;6,6705366;200,116098;;;;;;
1,588346;6,6710532;200,131596;;;;;;
1,58847;6,671574;200,14722;;;;;;
1,588593;6,6720906;200,162718;;;;;;
1,588715;6,672603;200,17809;;;;;;
1,588838;6,6731196;200,193588;;;;;;
1,588961;6,6736362;200,209086;;;;;;
1,589083;6,6741486;200,224458;;;;;;
1,589205;6,674661;200,23983;;;;;;
1,589328;6,6751776;200,255328;;;;;;
1,58945;6,67569;200,2707;;;;;;
1,589572;6,6762024;200,286072;;;;;;
1,589694;6,6767148;200,301444;;;;;;
1,589815;6,677223;200,31669;;;;;;
1,589937;6,6777354;200,332062;;;;;;
1,590058;6,6782436;200,347308;;;;;;
1,59018;6,678756;200,36268;;;;;;
1,590301;6,6792642;200,377926;;;;;;
1,590422;6,6797724;200,393172;;;;;;
1,590543;6,6802806;200,408418;;;;;;
1,590664;6,6807888;200,423664;;;;;;
1,590785;6,681297;200,43891;;;;;;
1,590906;6,6818052;200,454156;;;;;;
1,591026;6,6823092;200,469276;;;;;;
1,591147;6,6828174;200,484522;;;;;;
1,591267;6,6833214;200,499642;;;;;;
1,591388;6,6838296;200,514888;;;;;;
1,591508;6,6843336;200,530008;;;;;;
1,591628;6,6848376;200,545128;;;;;;
1,591748;6,6853416;200,560248;;;;;;
1,591867;6,6858414;200,575242;;;;;;
1,591987;6,6863454;200,590362;;;;;;
1,592106;6,6868452;200,605356;;;;;;
1,592226;6,6873492;200,620476;;;;;;
1,592345;6,687849;200,63547;;;;;;
1,592464;6,6883488;200,650464;;;;;;
1,592583;6,6888486;200,665458;;;;;;
1,592702;6,6893484;200,680452;;;;;;
1,592821;6,6898482;200,695446;;;;;;
1,59294;6,690348;200,71044;;;;;;
1,593058;6,6908436;200,725308;;;;;;
1,593177;6,6913434;200,740302;;;;;;
1,593295;6,691839;200,75517;;;;;;
1,593413;6,6923346;200,770038;;;;;;
1,593532;6,6928344;200,785032;;;;;;
1,59365;6,69333;200,7999;;;;;;
1,593768;6,6938256;200,814768;;;;;;
1,593885;6,694317;200,82951;;;;;;
1,594003;6,6948126;200,844378;;;;;;
1,594121;6,6953082;200,859246;;;;;;
1,594238;6,6957996;200,873988;;;;;;
1,594355;6,696291;200,88873;;;;;;
1,594472;6,6967824;200,903472;;;;;;
1,594589;6,6972738;200,918214;;;;;;
1,594706;6,6977652;200,932956;;;;;;
1,594823;6,6982566;200,947698;;;;;;
1,59494;6,698748;200,96244;;;;;;
1,595057;6,6992394;200,977182;;;;;;
1,595173;6,6997266;200,991798;;;;;;
1,595289;6,7002138;201,006414;;;;;;
1,595406;6,7007052;201,021156;;;;;;
1,595522;6,7011924;201,035772;;;;;;
1,595638;6,7016796;201,050388;;;;;;
1,595754;6,7021668;201,065004;;;;;;
1,59587;6,702654;201,07962;;;;;;
1,595985;6,703137;201,09411;;;;;;
1,596101;6,7036242;201,108726;;;;;;
1,596216;6,7041072;201,123216;;;;;;
1,596331;6,7045902;201,137706;;;;;;
1,596447;6,7050774;201,152322;;;;;;
1,596562;6,7055604;201,166812;;;;;;
1,596677;6,7060434;201,181302;;;;;;
1,596792;6,7065264;201,195792;;;;;;
1,596906;6,7070052;201,210156;;;;;;
1,597021;6,7074882;201,224646;;;;;;
1,597135;6,707967;201,23901;;;;;;
1,59725;6,70845;201,2535;;;;;;
1,597364;6,7089288;201,267864;;;;;;
1,597478;6,7094076;201,282228;;;;;;
1,597592;6,7098864;201,296592;;;;;;
1,597706;6,7103652;201,310956;;;;;;
1,59782;6,710844;201,32532;;;;;;
1,597933;6,7113186;201,339558;;;;;;
1,598047;6,7117974;201,353922;;;;;;
1,59816;6,712272;201,36816;;;;;;
1,598274;6,7127508;201,382524;;;;;;
1,598387;6,7132254;201,396762;;;;;;
1,5985;6,7137;201,411;;;;;;
1,598613;6,7141746;201,425238;;;;;;
1,598726;6,7146492;201,439476;;;;;;
1,598838;6,7151196;201,453588;;;;;;
1,598951;6,7155942;201,467826;;;;;;
1,599064;6,7160688;201,482064;;;;;;
1,599176;6,7165392;201,496176;;;;;;
1,599288;6,7170096;201,510288;;;;;;
1,5994;6,71748;201,5244;;;;;;
1,599512;6,7179504;201,538512;;;;;;
1,599624;6,7184208;201,552624;;;;;;
1,599736;6,7188912;201,566736;;;;;;
1,599848;6,7193616;201,580848;;;;;;
1,599959;6,7198278;201,594834;;;;;;
1,600071;6,7202982;201,608946;;;;;;
1,600182;6,7207644;201,622932;;;;;;
1,600293;6,7212306;201,636918;;;;;;
1,600404;6,7216968;201,650904;;;;;;
1,600515;6,722163;201,66489;;;;;;
1,600626;6,7226292;201,678876;;;;;;
1,600737;6,7230954;201,692862;;;;;;
1,600847;6,7235574;201,706722;;;;;;
1,600958;6,7240236;201,720708;;;;;;
1,601068;6,7244856;201,734568;;;;;;
1,601178;6,7249476;201,748428;;;;;;
1,601288;6,7254096;201,762288;;;;;;
1,601398;6,7258716;201,776148;;;;;;
1,601508;6,7263336;201,790008;;;;;;
1,601618;6,7267956;201,803868;;;;;;
1,601728;6,7272576;201,817728;;;;;;
1,601837;6,7277154;201,831462;;;;;;
1,601947;6,7281774;201,845322;;;;;;
1,602056;6,7286352;201,859056;;;;;;
1,602165;6,729093;201,87279;;;;;;
1,602274;6,7295508;201,886524;;;;;;
1,602383;6,7300086;201,900258;;;;;;
1,602492;6,7304664;201,913992;;;;;;
